id,title,description,type,body part
0,Leg press calf raise,The leg press calf raise is a variation of the standing calf raise performed...,machine/other,legs
1,Narrow-stance leg press,The narrow-stance leg press is a machine-based exercise that targets the musc...,machine/other,legs
2,Dumbbell lunge with biceps curl,The dumbbell lunge with biceps curl combines an isometric hold at the bottom...,dumbbell,legs
3,Narrow-stance squat,The narrow-stance squat is an exercise that targets the lower body with an em...,barbell,legs
4,Barbell Seated Calf Raise,Barbell Seated Calf Raise exercise.,barbell,legs
5,Single-leg standing dumbbell calf raise,The single-leg standing dumbbell calf raise is a popular exercise to target t...,dumbbell,legs
6,Pop Squat On Leg Press,Pop Squat On Leg Press exercise.,machine/other,legs
7,Dumbbell walking calf raise,The dumbbell walking calf raise is a dynamic exercise targeting the calf musc...,dumbbell,legs
8,Smith machine standing calf raise,The Smith machine standing calf raise is a machine-based exercise targeting t...,machine/other,legs
9,Rocking Standing Calf Raise,Rocking Standing Calf Raise exercise.,barbell,legs
10,Standing Dumbbell Calf Raise,The standing dumbbell calf raise is a popular exercise to target the calf mus...,dumbbell,legs
11,Calf Raise On A Dumbbell,Calf Raise On A Dumbbell exercise.,dumbbell,legs
12,Standing barbell calf raise,The standing barbell calf raise is a popular exercise to target the calf musc...,barbell,legs
13,Hack squat calf raise,The hack squat calf raise is a variation of the standing calf raise performed...,machine/other,legs
14,Squat with alternating side leg raise,The squat with alternating side leg raise is a bodyweight version of the squa...,reps only,legs
15,Standing Calf Raise,The standing calf raise is a popular movement to target the calf muscles of t...,reps only,legs
16,Standing calf raise-,The standing calf raise is a popular movement to target the calf muscles of t...,reps only,legs
17,Sumo Deadlift with Bands,Sumo Deadlift with Bands exercise.,barbell,legs
18,Sumo Deadlift with Chains,Sumo Deadlift with Chains exercise.,barbell,legs
19,Sumo deadlift,The sumo deadlift is a compound movement in which the feet are set in a wide...,barbell,legs
20,Barbell back squat to box,The barbell back squat to box is a popular version of a classic lower-body ex...,barbell,legs
21,Reverse Band Sumo Deadlift,Reverse Band Sumo Deadlift exercise.,barbell,legs
22,Squat with Chains,Squat with Chains exercise.,barbell,legs
23,Squat with Bands,Squat with Bands exercise.,barbell,legs
24,Kneeling Squat,Kneeling Squat exercise.,barbell,legs
25,Reverse Band Power Squat,Reverse Band Power Squat exercise.,barbell,legs
26,Box Squat with Bands,Box Squat with Bands exercise.,barbell,legs
27,Leg press-,"The leg press is a machine exercise targeting the leg muscles, including the...",machine/other,legs
28,KV Bulgarian Split Squat,KV Bulgarian Split Squat exercise.,barbell,legs
29,Narrow Stance Hack Squats,Narrow Stance Hack Squats exercise.,machine/other,legs
30,Machine seated calf raise,The machine seated calf raise is an exercise targeting the calf muscles of th...,machine/other,legs
